abiilities,abilities
desexualising,desexualizing
destabilising,destabilizing
desulphurised,desulphurized
desulphuriser,desulphurizer
detribalising,detribalizing
devirginising,devirginizing
dichotomising,dichotomizing
digitisations,digitizations
diphthongised,diphthongized
disorganisers,disorganizers
disorganising,disorganizing
dogmatisation,dogmatization
dramatisation,dramatization
economisation,economization
editorialised,editorialized
editorialiser,editorializer
editorialises,editorializes
emotionalised,emotionalized
emotionalises,emotionalizes
entomologised,entomologized
epigrammatise,epigrammatize
epithelialise,epithelialize
epitomisation,epitomization
equalisations,equalizations
eroticisation,eroticization
estrinisation,estrinization
etherealising,etherealizing
etymologising,etymologizing
extemporisers,extemporizers
extemporising,extemporizing
exteriorising,exteriorizing
externalising,externalizing
factorisation,factorization
familiarisers,familiarizers
familiarising,familiarizing
fertilisation,fertilization
feudalisation,feudalization
fictionalised,fictionalized
fictionalises,fictionalizes
finalisations,finalizations
fistulisation,fistulization
fletcherising,fletcherizing
fluidisations,fluidizations
focalisations,focalizations
formalinising,formalinizing
formalisation,formalization
fossilisation,fossilization
fractionalise,fractionalize
fractionising,fractionizing
fragmentising,fragmentizing
galvanisation,galvanization
generalisable,generalizable
germanisation,germanization
glamorisation,glamorization
globalisation,globalization
gonadectomise,gonadectomize
gutturalising,gutturalizing
harmonisation,harmonization
hepatectomise,hepatectomize
hospitalising,hospitalizing
hyalinisation,hyalinization
hybridisation,hybridization
hydrogenising,hydrogenizing
hyperbolising,hyperbolizing
hyperpolarise,hyperpolarize
hyposensitise,hyposensitize
hypostatising,hypostatizing
hypothesisers,hypothesizers
hypothesising,hypothesizing
idealisations,idealizations
immaterialise,immaterialize
immortalisers,immortalizers
immortalising,immortalizing
immunisations,immunizations
impersonalise,impersonalize
impetiginised,impetiginized
indemnisation,indemnization
individualise,individualize
industrialise,industrialize
interiorising,interiorizing
internalising,internalizing
iridectomised,iridectomized
iridectomises,iridectomizes
isochronising,isochronizing
isomerisation,isomerization
italicisation,italicization
jargonisation,jargonization
javellisation,javellization
judicialising,judicializing
kjeldahlising,kjeldahlizing
labialisation,labialization
latinisations,latinizations
legalisations,legalizations
legitimatised,legitimatized
legitimatises,legitimatizes
lemmatisation,lemmatization
lithotomising,lithotomizing
localisations,localizations
lumbarisation,lumbarization
luteinisation,luteinization
magnetisation,magnetization
marbleisation,marbleization
marginalising,marginalizing
marsupialised,marsupialized
marsupialises,marsupializes
martyrisation,martyrization
masculinising,masculinizing
materialising,materializing
mechanisation,mechanization
mediatisation,mediatization
medullisation,medullization
melodramatise,melodramatize
memorialising,memorializing
merchandising,merchandizing
mercurialised,mercurialized
mercurialises,mercurializes
mesmerisation,mesmerization
metabolisable,metabolizable
metallisation,metallization
metastasising,metastasizing
miniaturising,miniaturizing
minimisations,minimizations
mitralisation,mitralization
mobilisations,mobilizations
modernisation,modernization
mutualisation,mutualization
myelinisation,myelinization
narcotisation,narcotization
nationalising,nationalizing
nephrectomise,nephrectomize
neurologising,neurologizing
nitrogenising,nitrogenizing
normalisation,normalization
notarisations,notarizations
novelisations,novelizations
optimisations,optimizations
organisations,organizations
ovariectomise,ovariectomize
overcivilised,overcivilized
overcriticise,overcriticize
overdramatise,overdramatize
overemphasise,overemphasize
overidealised,overidealized
overpublicise,overpublicize
palletisation,palletization
parallelising,parallelizing
parameterised,parameterized
parameterises,parameterizes
parenthesised,parenthesized
parenthesises,parenthesizes
particularise,particularize
pauperisation,pauperization
pedestrianise,pedestrianize
peptonisation,peptonization
periodisation,periodization
personalising,personalizing
phagocytising,phagocytizing
philosophised,philosophized
philosophiser,philosophizer
philosophises,philosophizes
phlebotomised,phlebotomized
phlebotomises,phlebotomizes
phosphatising,phosphatizing
phosphorising,phosphorizing
platinisation,platinization
platitudinise,platitudinize
pluralisation,pluralization
podsolisation,podsolization
podzolisation,podzolization
polarisations,polarizations
preconisation,preconization
preinitialise,preinitialize
privatisation,privatization
pronominalise,pronominalize
propagandised,propagandized
propagandises,propagandizes
proselytisers,proselytizers
proselytising,proselytizing
psychologised,psychologized
psychologises,psychologizes
pulverisation,pulverization
randomisation,randomization
rationalisers,rationalizers
rationalising,rationalizing
recapitalised,recapitalized
recapitalises,recapitalizes
recrystallise,recrystallize
reemphasising,reemphasizing
regalvanising,regalvanizing
reharmonising,reharmonizing
remilitarised,remilitarized
remilitarises,remilitarizes
republicanise,republicanize
reutilisation,reutilization
revolutionise,revolutionize
ritualisation,ritualization
roentgenising,roentgenizing
romanticising,romanticizing
sacralisation,sacralization
saucerisation,saucerization
schismatising,schismatizing
sectionalised,sectionalized
semicivilised,semicivilized
semiorganised,semiorganized
sensitisation,sensitization
sequentialise,sequentialize
serialisation,serialization
sexualisation,sexualization
sheradisation,sheradization
signalisation,signalization
singularising,singularizing
skeletisation,skeletization
skeletonising,skeletonizing
socialisation,socialization
solemnisation,solemnization
soliloquising,soliloquizing
sovietisation,sovietization
specificising,specificizing
spiritualised,spiritualized
spiritualiser,spiritualizer
spiritualises,spiritualizes
splenectomise,splenectomize
stabilisation,stabilization
standardising,standardizing
sterilisation,sterilization
subsidisation,subsidization
substantivise,substantivize
subtilisation,subtilization
suburbanising,suburbanizing
summarisation,summarization
syllogisation,syllogization
symbolisation,symbolization
synchronisers,synchronizers
synchronising,synchronizing
syphilisation,syphilization
systematising,systematizing
tantalisation,tantalization
tartarisation,tartarization
temporisation,temporization
tenderisation,tenderization
terrorisation,terrorization
theatricalise,theatricalize
thematisation,thematization
theorisations,theorizations
thymectomised,thymectomized
thymectomises,thymectomizes
tracheotomise,tracheotomize
tranquilisers,tranquilizers
tranquilising,tranquilizing
tranquillised,tranquillized
tranquilliser,tranquillizer
tranquillises,tranquillizes
transistorise,transistorize
tropicalising,tropicalizing
uncapitalised,uncapitalized
uninitialised,uninitialized
universalised,universalized
universalises,universalizes
unpasteurised,unpasteurized
unpolymerised,unpolymerized
unspecialised,unspecialized
vacuolisation,vacuolization
valorisations,valorizations
vandalisation,vandalization
variolisation,variolization
vascularising,vascularizing
vasectomising,vasectomizing
vectorisation,vectorization
ventriloquise,ventriloquize
verbalisation,verbalization
vernalisation,vernalization
victimisation,victimization
visualisation,visualization
vocalisations,vocalizations
volcanisation,volcanization
vulcanisation,vulcanization
vulgarisation,vulgarization
winterisation,winterization
aerosolisation,aerosolization
alcoholisation,alcoholization
alkalinisation,alkalinization
allegorisation,allegorization
anaesthetising,anaesthetizing
anathematising,anathematizing
antagonisation,antagonization
antisepticised,antisepticized
antisepticises,antisepticizes
apostrophising,apostrophizing
asexualisation,asexualization
atropinisation,atropinization
attitudinising,attitudinizing
authorisations,authorizations
autoimmunising,autoimmunizing
automatisation,automatization
axiomatisation,axiomatization
bastardisation,bastardization
bitumenisation,bitumenization
bowdlerisation,bowdlerization
bureaucratised,bureaucratized
bureaucratises,bureaucratizes
canonicalising,canonicalizing
cantharidising,cantharidizing
capitalisation,capitalization
caramelisation,caramelization
cartellisation,cartellization
catechisations,catechizations
categorisation,categorization
centralisation,centralization
centrifugalise,centrifugalize
channelisation,channelization
chaptalisation,chaptalization
characterisers,characterizers
characterising,characterizing
chattelisation,chattelization
chemosterilise,chemosterilize
christianising,christianizing
cinchonisation,cinchonization
classicisation,classicization
collateralised,collateralized
collateralises,collateralizes
collectivising,collectivizing
commercialised,commercialized
commercialises,commercializes
communisations,communizations
complementiser,complementizer
conceptualised,conceptualized
conceptualises,conceptualizes
concretisation,concretization
conditionalise,conditionalize
containerising,containerizing
contemporising,contemporizing
contextualised,contextualized
contextualises,contextualizes
copolymerising,copolymerizing
customisations,customizations
deaminisations,deaminizations
decentralising,decentralizing
decimalisation,decimalization
decolonisation,decolonization
decolorisation,decolorization
decriminalised,decriminalized
decriminalises,decriminalizes
dehumanisation,dehumanization
dehydrogenised,dehydrogenized
dehydrogenises,dehydrogenizes
delegalisation,delegalization
delocalisation,delocalization
demasculinised,demasculinized
demasculinises,demasculinizes
dematerialised,dematerialized
demilitarising,demilitarizing
demineralising,demineralizing
demobilisation,demobilization
demonetarising,demonetarizing
demonetisation,demonetization
demoralisation,demoralization
demythologised,demythologized
demythologises,demythologizes
denationalised,denationalized
denationalises,denationalizes
denaturalising,denaturalizing
denicotinising,denicotinizing
denuclearising,denuclearizing
depancreatised,depancreatized
depancreatises,depancreatizes
depersonalised,depersonalized
depersonalises,depersonalizes
depolarisation,depolarization
depoliticising,depoliticizing
depolymerising,depolymerizing
depressurising,depressurizing
desalinisation,desalinization
desulphurisers,desulphurizers
desulphurising,desulphurizing
devitalisation,devitalization
digitalisation,digitalization
diphthongising,diphthongizing
dogmatisations,dogmatizations
dramatisations,dramatizations
eczematisation,eczematization
editorialisers,editorializers
editorialising,editorializing
emotionalising,emotionalizing
entomologising,entomologizing
envenomisation,envenomization
epidermisation,epidermization
epigrammatised,epigrammatized
epigrammatiser,epigrammatizer
epigrammatises,epigrammatizes
epithelialised,epithelialized
epithelialises,epithelializes
epithelisation,epithelization
epitomisations,epitomizations
eternalisation,eternalization
evangelisation,evangelization
factorisations,factorizations
federalisation,federalization
fertilisations,fertilizations
fictionalising,fictionalizing
fluoridisation,fluoridization
formalisations,formalizations
fractionalised,fractionalized
fractionalises,fractionalizes
fraternisation,fraternization
galvanisations,galvanizations
gelatinisation,gelatinization
generalisation,generalization
glamorisations,glamorizations
gonadectomised,gonadectomized
gonadectomises,gonadectomizes
grangerisation,grangerization
graphitisation,graphitization
gyrostabiliser,gyrostabilizer
harmonisations,harmonizations
heparinisation,heparinization
hepatectomised,hepatectomized
hepatectomises,hepatectomizes
homogenisation,homogenization
hybridisations,hybridizations
hyperpolarised,hyperpolarized
hyperpolarises,hyperpolarizes
hypersensitise,hypersensitize
hyposensitised,hyposensitized
hyposensitises,hyposensitizes
hysterectomise,hysterectomize
illegalisation,illegalization
immaterialised,immaterialized
immobilisation,immobilization
impersonalised,impersonalized
impersonalises,impersonalizes
individualised,individualized
individualiser,individualizer
individualises,individualizes
industrialised,industrialized
industrialises,industrializes
initialisation,initialization
iridectomising,iridectomizing
italianisation,italianization
italicisations,italicizations
journalisation,journalization
keratinisation,keratinization
laryngectomise,laryngectomize
legitimatising,legitimatizing
legitimisation,legitimization
lemmatisations,lemmatizations
lexicalisation,lexicalization
liberalisation,liberalization
libidinisation,libidinization
lyophilisation,lyophilization
lysogenisation,lysogenization
macadamisation,macadamization
malleinisation,malleinization
marsupialising,marsupializing
mechanisations,mechanizations
melodramatised,melodramatized
mercurialising,mercurializing
metallisations,metallizations
mineralisation,mineralization
misalphabetise,misalphabetize
modularisation,modularization
monopolisation,monopolization
naturalisation,naturalization
nephrectomised,nephrectomized
nephrectomises,nephrectomizes
nesslerisation,nesslerization
neutralisation,neutralization
nonspecialised,nonspecialized
oophorectomise,oophorectomize
operationalise,operationalize
organisational,organizational
ovariectomised,ovariectomized
ovariectomises,ovariectomizes
overcapitalise,overcapitalize
overcivilising,overcivilizing
overcriticised,overcriticized
overdramatised,overdramatized
overdramatises,overdramatizes
overemphasised,overemphasized
overemphasises,overemphasizes
overgeneralise,overgeneralize
overidealising,overidealizing
overpublicised,overpublicized
overspecialise,overspecialize
palatalisation,palatalization
parabolisation,parabolization
parameterising,parameterizing
parasitisation,parasitization
parenthesising,parenthesizing
particularised,particularized
particularises,particularizes
pasteurisation,pasteurization
pedestrianised,pedestrianized
philosophisers,philosophizers
philosophising,philosophizing
phlebotomising,phlebotomizing
photosensitise,photosensitize
plasticisation,plasticization
platitudinised,platitudinized
platitudiniser,platitudinizer
pneumatisation,pneumatization
politicisation,politicization
polymerisation,polymerization
popularisation,popularization
preinitialised,preinitialized
preinitialises,preinitializes
pressurisation,pressurization
prioritisation,prioritization
proletarianise,proletarianize
pronominalised,pronominalized
propagandising,propagandizing
psychologising,psychologizing
radicalisation,radicalization
recanalisation,recanalization
recapitalising,recapitalizing
recolonisation,recolonization
recrystallised,recrystallized
recrystallises,recrystallizes
regularisation,regularization
relativisation,relativization
remilitarising,remilitarizing
remonetisation,remonetization
reorganisation,reorganization
republicanised,republicanized
reutilisations,reutilizations
revalorisation,revalorization
revitalisation,revitalization
revolutionised,revolutionized
revolutioniser,revolutionizer
revolutionises,revolutionizes
russianisation,russianization
salicylisation,salicylization
scandalisation,scandalization
schematisation,schematization
sectionalising,sectionalizing
secularisation,secularization
securitisation,securitization
sensationalise,sensationalize
sensualisation,sensualization
sentimentalise,sentimentalize
sequentialised,sequentialized
sequentialises,sequentializes
serialisations,serializations
solubilisation,solubilization
specialisation,specialization
spiritualising,spiritualizing
splenectomised,splenectomized
splenectomises,splenectomizes
stabilisations,stabilizations
standardisable,standardizable
sterilisations,sterilizations
stigmatisation,stigmatization
strobilisation,strobilization
subminiaturise,subminiaturize
subsidisations,subsidizations
substantialise,substantialize
sulphurisation,sulphurization
summarisations,summarizations
symbolisations,symbolizations
symmetrisation,symmetrization
syncretisation,syncretization
synthesisation,synthesization
territorialise,territorialize
theatricalised,theatricalized
theatricalises,theatricalizes
theologisation,theologization
thermalisation,thermalization
thymectomising,thymectomizing
tracheotomised,tracheotomized
tracheotomises,tracheotomizes
traditionalise,traditionalize
tranquillising,tranquillizing
transistorised,transistorized
transistorises,transistorizes
traumatisation,traumatization
trichinisation,trichinization
trivialisation,trivialization
trypsinisation,trypsinization
unacclimatised,unacclimatized
unalphabetised,unalphabetized
unanesthetised,unanesthetized
uncrystallised,uncrystallized
underemphasise,underemphasize
universalising,universalizing
unrecognisable,unrecognizable
unromanticised,unromanticized
unstandardised,unstandardized
unsynchronised,unsynchronized
unsystematised,unsystematized
verbalisations,verbalizations
victimisations,victimizations
visualisations,visualizations
vitaminisation,vitaminization
vitriolisation,vitriolization
volatilisation,volatilization
vulgarisations,vulgarizations
westernisation,westernization
acclimatisation,acclimatization
adrenalectomise,adrenalectomize
alphabetisation,alphabetization
americanisation,americanization
anesthetisation,anesthetization
antisepticising,antisepticizing
apotheosisation,apotheosization
arterialisation,arterialization
axiomatisations,axiomatizations
bastardisations,bastardizations
bowdlerisations,bowdlerizations
bureaucratising,bureaucratizing
cannibalisation,cannibalization
capitalisations,capitalizations
categorisations,categorizations
catheterisation,catheterization
catholicisation,catholicization
centrifugalised,centrifugalized
centrifugalises,centrifugalizes
characterisable,characterizable
chemosterilised,chemosterilized
chemosterilises,chemosterilizes
circularisation,circularization
classicisations,classicizations
collateralising,collateralizing
colonisationist,colonizationist
commercialising,commercializing
communalisation,communalization
complementisers,complementizers
computerisation,computerization
conceptualising,conceptualizing
conditionalised,conditionalized
conditionalises,conditionalizes
contextualising,contextualizing
conventionalise,conventionalize
crystallisation,crystallization
decarbonisation,decarbonization
decarburisation,decarburization
decartelisation,decartelization
decimalisations,decimalizations
decolonisations,decolonizations
decriminalising,decriminalizing
dehydrogenising,dehydrogenizing
dehypnotisation,dehypnotization
deindustrialise,deindustrialize
delocalisations,delocalizations
demagnetisation,demagnetization
demasculinising,demasculinizing
dematerialising,dematerializing
demobilisations,demobilizations
democratisation,democratization
demonetisations,demonetizations
demyelinisation,demyelinization
demythologising,demythologizing
denationalising,denationalizing
depancreatising,depancreatizing
departmentalise,departmentalize
depersonalising,depersonalizing
desensitisation,desensitization
desexualisation,desexualization
destabilisation,destabilization
destructuralise,destructuralize
desynchronising,desynchronizing
detribalisation,detribalization
dichotomisation,dichotomization
disorganisation,disorganization
epigrammatising,epigrammatizing
epithelialising,epithelializing
eternalisations,eternalizations
etherealisation,etherealization
evangelisations,evangelizations
experimentalise,experimentalize
extemporisation,extemporization
exteriorisation,exteriorization
externalisation,externalization
familiarisation,familiarization
federalisations,federalizations
fractionalising,fractionalizing
fractionisation,fractionization
fraternisations,fraternizations
generalisations,generalizations
gonadectomising,gonadectomizing
grangerisations,grangerizations
graphitisations,graphitizations
gutturalisation,gutturalization
gyrostabilisers,gyrostabilizers
hepatectomising,hepatectomizing
hospitalisation,hospitalization
hydrogenisation,hydrogenization
hyperpolarising,hyperpolarizing
hypersensitised,hypersensitized
hypersensitises,hypersensitizes
hyposensitising,hyposensitizing
hypostatisation,hypostatization
hysterectomised,hysterectomized
hysterectomises,hysterectomizes
immaterialising,immaterializing
immortalisation,immortalization
impersonalising,impersonalizing
individualisers,individualizers
individualising,individualizing
industrialising,industrializing
initialisations,initializations
intellectualise,intellectualize
internalisation,internalization
isoimmunisation,isoimmunization
kjeldahlisation,kjeldahlization
laryngectomised,laryngectomized
laryngectomises,laryngectomizes
legitimisations,legitimizations
lexicalisations,lexicalizations
liberalisations,liberalizations
marginalisation,marginalization
masculinisation,masculinization
materialisation,materialization
melodramatising,melodramatizing
memorialisation,memorialization
metropolitanise,metropolitanize
miniaturisation,miniaturization
misalphabetised,misalphabetized
misalphabetises,misalphabetizes
nationalisation,nationalization
nephrectomising,nephrectomizing
neutralisations,neutralizations
nitrogenisation,nitrogenization
nonstandardised,nonstandardized
oligomerisation,oligomerization
oophorectomised,oophorectomized
oophorectomises,oophorectomizes
operationalised,operationalized
operationalises,operationalizes
ovariectomising,ovariectomizing
overcapitalised,overcapitalized
overcapitalises,overcapitalizes
overcriticising,overcriticizing
overdramatising,overdramatizing
overemphasising,overemphasizing
overgeneralised,overgeneralized
overgeneralises,overgeneralizes
overpublicising,overpublicizing
overromanticise,overromanticize
overspecialised,overspecialized
overspecialises,overspecializes
parameterisable,parameterizable
particularising,particularizing
pedestrianising,pedestrianizing
personalisation,personalization
phosphatisation,phosphatization
photosensitised,photosensitized
photosensitiser,photosensitizer
photosensitises,photosensitizes
photosynthesise,photosynthesize
platitudinising,platitudinizing
popularisations,popularizations
precivilisation,precivilization
preinitialising,preinitializing
preorganisation,preorganization
professionalise,professionalize
proletarianised,proletarianized
proletarianises,proletarianizes
pronominalising,pronominalizing
proselytisation,proselytization
radiosterilised,radiosterilized
rationalisation,rationalization
recrystallising,recrystallizing
reharmonisation,reharmonization
remonetisations,remonetizations
reorganisations,reorganizations
reprivatisation,reprivatization
republicanising,republicanizing
reserpinisation,reserpinization
revolutionising,revolutionizing
roentgenisation,roentgenization
romanticisation,romanticization
sensationalised,sensationalized
sensationalises,sensationalizes
sentimentalised,sentimentalized
sentimentalises,sentimentalizes
sequentialising,sequentializing
singularisation,singularization
specialisations,specializations
splenectomising,splenectomizing
standardisation,standardization
stapedectomised,stapedectomized
subcivilisation,subcivilization
subminiaturised,subminiaturized
subminiaturises,subminiaturizes
substantialised,substantialized
substantialises,substantializes
superspecialise,superspecialize
synchronisation,synchronization
systematisation,systematization
teleomerisation,teleomerization
territorialised,territorialized
territorialises,territorializes
theatricalising,theatricalizing
thyroidectomise,thyroidectomize
tracheotomising,tracheotomizing
traditionalised,traditionalized
traditionalises,traditionalizes
tranquilisation,tranquilization
transistorising,transistorizing
tropicalisation,tropicalization
undercapitalise,undercapitalize
underemphasised,underemphasized
underemphasises,underemphasizes
vascularisation,vascularization
adrenalectomised,adrenalectomized
adrenalectomises,adrenalectomizes
anaesthetisation,anaesthetization
anthropomorphise,anthropomorphize
autoimmunisation,autoimmunization
canaliculisation,canaliculization
canonicalisation,canonicalization
caricaturisation,caricaturization
centrifugalising,centrifugalizing
characterisation,characterization
chemosterilising,chemosterilizing
christianisation,christianization
circularisations,circularizations
collectivisation,collectivization
compartmentalise,compartmentalize
conditionalising,conditionalizing
containerisation,containerization
conventionalised,conventionalized
conventionalises,conventionalizes
copolymerisation,copolymerization
cuticularisation,cuticularization
dealcoholisation,dealcoholization
decentralisation,decentralization
decontextualised,decontextualized
deindustrialised,deindustrialized
demilitarisation,demilitarization
demineralisation,demineralization
demonetarisation,demonetarization
demorphinisation,demorphinization
denaturalisation,denaturalization
denuclearisation,denuclearization
departmentalised,departmentalized
departmentalises,departmentalizes
depolymerisation,depolymerization
depressurisation,depressurization
desensitisations,desensitizations
destructuralised,destructuralized
desulphurisation,desulphurization
dichotomisations,dichotomizations
diphthongisation,diphthongization
disorganisations,disorganizations
editorialisation,editorialization
emotionalisation,emotionalization
etherealisations,etherealizations
experimentalised,experimentalized
extemporisations,extemporizations
exteriorisations,exteriorizations
externalisations,externalizations
familiarisations,familiarizations
fictionalisation,fictionalization
gutturalisations,gutturalizations
hospitalisations,hospitalizations
hypersensitising,hypersensitizing
hypophysectomise,hypophysectomize
hysterectomising,hysterectomizing
impetiginisation,impetiginization
institutionalise,institutionalize
intellectualised,intellectualized
intellectualiser,intellectualizer
intellectualises,intellectualizes
internationalise,internationalize
laryngectomising,laryngectomizing
legitimatisation,legitimatization
marsupialisation,marsupialization
materialisations,materializations
mercurialisation,mercurialization
metropolitanised,metropolitanized
metropolitanises,metropolitanizes
miniaturisations,miniaturizations
misalphabetising,misalphabetizing
nationalisations,nationalizations
oophorectomising,oophorectomizing
operationalising,operationalizing
organisationally,organizationally
overcapitalising,overcapitalizing
overgeneralising,overgeneralizing
overromanticised,overromanticized
overspecialising,overspecializing
pancreatectomise,pancreatectomize
parameterisation,parameterization
philosophisation,philosophization
photosensitising,photosensitizing
photosynthesised,photosynthesized
photosynthesises,photosynthesizes
professionalised,professionalized
professionalises,professionalizes
proletarianising,proletarianizing
rationalisations,rationalizations
recapitalisation,recapitalization
remilitarisation,remilitarization
sectionalisation,sectionalization
sensationalising,sensationalizing
sentimentalising,sentimentalizing
spiritualisation,spiritualization
standardisations,standardizations
strychninisation,strychninization
subcivilisations,subcivilizations
subminiaturising,subminiaturizing
substantialising,substantializing
superspecialised,superspecialized
territorialising,territorializing
thyroidectomised,thyroidectomized
thyroidectomises,thyroidectomizes
traditionalising,traditionalizing
tranquillisation,tranquillization
undercapitalised,undercapitalized
undercapitalises,undercapitalizes
underemphasising,underemphasizing
universalisation,universalization
adrenalectomising,adrenalectomizing
anthropomorphised,anthropomorphized
autosensitisation,autosensitization
bureaucratisation,bureaucratization
caricaturisations,caricaturizations
characterisations,characterizations
commercialisation,commercialization
compartmentalised,compartmentalized
compartmentalises,compartmentalizes
conceptualisation,conceptualization
contextualisation,contextualization
conventionalising,conventionalizing
dearterialisation,dearterialization
decentralisations,decentralizations
decriminalisation,decriminalization
deindustrialising,deindustrializing
demasculinisation,demasculinization
dematerialisation,dematerialization
demonetarisations,demonetarizations
demythologisation,demythologization
denationalisation,denationalization
departmentalising,departmentalizing
depersonalisation,depersonalization
depressurisations,depressurizations
destructuralising,destructuralizing
devascularisation,devascularization
diphthongisations,diphthongizations
editorialisations,editorializations
emotionalisations,emotionalizations
epithelialisation,epithelialization
experimentalising,experimentalizing
fictionalisations,fictionalizations
hyperpolarisation,hyperpolarization
hypophysectomised,hypophysectomized
hypophysectomises,hypophysectomizes
hyposensitisation,hyposensitization
impersonalisation,impersonalization
individualisation,individualization
industrialisation,industrialization
institutionalised,institutionalized
institutionalises,institutionalizes
intellectualisers,intellectualizers
intellectualising,intellectualizing
internationalised,internationalized
internationalises,internationalizes
metropolitanising,metropolitanizing
microminiaturised,microminiaturized
overindustrialise,overindustrialize
overromanticising,overromanticizing
pancreatectomised,pancreatectomized
pancreatectomises,pancreatectomizes
parameterisations,parameterizations
particularisation,particularization
photosynthesising,photosynthesizing
procentralisation,procentralization
professionalising,professionalizing
pronominalisation,pronominalization
recrystallisation,recrystallization
republicanisation,republicanization
subiniaturisation,subiniaturization
substantivisation,substantivization
thyroidectomising,thyroidectomizing
undercapitalising,undercapitalizing
anthropomorphising,anthropomorphizing
centrifugalisation,centrifugalization
chemosterilisation,chemosterilization
commercialisations,commercializations
compartmentalising,compartmentalizing
conceptualisations,conceptualizations
conditionalisation,conditionalization
decriminalisations,decriminalizations
dematerialisations,dematerializations
demythologisations,demythologizations
epidermidalisation,epidermidalization
hypersensitisation,hypersensitization
hypophysectomising,hypophysectomizing
impersonalisations,impersonalizations
individualisations,individualizations
industrialisations,industrializations
institutionalising,institutionalizing
internationalising,internationalizing
overcapitalisation,overcapitalization
overcentralisation,overcentralization
overgeneralisation,overgeneralization
overindustrialised,overindustrialized
overindustrialises,overindustrializes
overspecialisation,overspecialization
pancreatectomising,pancreatectomizing
particularisations,particularizations
photosensitisation,photosensitization
proletarianisation,proletarianization
radiosterilisation,radiosterilization
sentimentalisation,sentimentalization
supersensitisation,supersensitization
territorialisation,territorialization
conventionalisation,conventionalization
deindustrialisation,deindustrialization
departmentalisation,departmentalization
destructuralisation,destructuralization
hyperkeratinisation,hyperkeratinization
intellectualisation,intellectualization
overindustrialising,overindustrializing
compartmentalisation,compartmentalization
departmentalisations,departmentalizations
destructuralisations,destructuralizations
electrocauterisation,electrocauterization
institutionalisation,institutionalization
intellectualisations,intellectualizations
internationalisation,internationalization
microminiaturisation,microminiaturization
parathyroidectomised,parathyroidectomized
proindustrialisation,proindustrialization
internationalisations,internationalizations
duelled,dueled
dueller,dueler
fuelled,fueled
fueller,fueler
bevelled,beveled
beveller,beveler
cupelled,cupeled
cupeller,cupeler
develled,develed
dowelled,doweled
duellers,duelers
duelling,dueling
duellist,duelist
fuellers,fuelers
fuelling,fueling
gavelled,gaveled
gaveller,gaveler
gruelled,grueled
grueller,grueler
hovelled,hoveled
hoveller,hoveler
jewelled,jeweled
jeweller,jeweler
labelled,labeled
labeller,labeler
lapelled,lapeled
levelled,leveled
leveller,leveler
libelled,libeled
libellee,libelee
libeller,libeler
modelled,modeled
panelled,paneled
ravelled,raveled
raveller,raveler
rebelled,rebeled
revelled,reveled
reveller,reveler
rowelled,roweled
towelled,toweled
vowelled,voweled
yodelled,yodeled
yodeller,yodeler
barrelled,barreled
bevellers,bevelers
bevelling,beveling
bowelling,boweling
bushelled,busheled
busheller,busheler
cagelling,cageling
cancelled,canceled
canceller,canceler
chiselled,chiseled
chiseller,chiseler
corbelled,corbeled
crenelled,creneled
cudgelled,cudgeled
cudgeller,cudgeler
cupellers,cupelers
cupelling,cupeling
develling,develing
dowelling,doweling
drivelled,driveled
driveller,driveler
duellings,duelings
duellists,duelists
enamelled,enameled
enameller,enameler
ferrelled,ferreled
funnelled,funneled
gavelling,gaveling
gravelled,graveled
grovelled,groveled
groveller,groveler
gruellers,gruelers
gruelling,grueling
hanselled,hanseled
houselled,houseled
hovellers,hovelers
hovelling,hoveling
jewellers,jewelers
jewellery,jewelery
jewelling,jeweling
kennelled,kenneled
kernelled,kerneled
labellers,labelers
labelling,labeling
labelloid,labeloid
laurelled,laureled
levellers,levelers
levellest,levelest
levelling,leveling
libellant,libelant
libellees,libelees
libellers,libelers
libelling,libeling
libellous,libelous
marcelled,marceled
marceller,marceler
marvelled,marveled
medelling,medeling
modelling,modeling
nickelled,nickeled
panelling,paneling
panellist,panelist
parcelled,parceled
pommelled,pommeled
pummelled,pummeled
rappelled,rappeled
ravellers,ravelers
ravelling,raveling
rebelling,rebeling
rebellion,rebelion
refuelled,refueled
refueller,refueler
revellent,revelent
revellers,revelers
revelling,reveling
rowelling,roweling
shovelled,shoveled
shoveller,shoveler
sidelling,sideling
snivelled,sniveled
sniveller,sniveler
swivelled,swiveled
tasselled,tasseled
teaselled,teaseled
teaseller,teaseler
teazelled,teazeled
tinselled,tinseled
towelling,toweling
travelled,traveled
traveller,traveler
trowelled,troweled
troweller,troweler
tunnelled,tunneled
tunneller,tunneler
weaselled,weaseled
yodellers,yodelers
yodelling,yodeling
apparelled,appareled
barrelling,barreling
bejewelled,bejeweled
belibelled,belibeled
bevellings,bevelings
bushellers,bushelers
bushelling,busheling
cancellers,cancelers
cancelling,canceling
cancellous,cancelous
chandelled,chandeled
channelled,channeled
channeller,channeler
chisellers,chiselers
chiselling,chiseling
corbelling,corbeling
counselled,counseled
counsellor,counselor
crenellate,crenelate
crenelling,creneling
cudgellers,cudgelers
cudgelling,cudgeling
drivellers,drivelers
drivelling,driveling
embowelled,emboweled
empanelled,empaneled
enamellers,enamelers
enamelling,enameling
enamellist,enamelist
ferrelling,ferreling
flannelled,flanneled
funnelling,funneling
gravelling,graveling
